instrument_type|ticker_symbol|exchange|country|currency|trade_date|execution_time|side|quantity|price_per_unit|gross_amount|commission|tax|net_amount|client_pid|client_name|client_lastname|client_origin|transaction_type|channel|created_at|updated_at
ETF|TSLA|XETRA|Morocco|GBP|2023-06-06|2023-06-06 08:40:51|B|169.6723|223.6638|37949.55|52.718|758.991|37128.13|606667852782|Caroline|Williams|Ethiopia|MARKET_PRICE|BROKER|2026-01-19 13:07:53.539549|2026-01-19 13:07:53.539551
ETF|TSLA|LSE|Guadeloupe|USD|2023-03-30|2023-03-30 06:15:18|S|225.3025|1390.8821|313369.21|725.771|6267.3842|306205.73|452679067689|Timothy|Horton|Estonia|STOP_LOSS|MOBILE|2026-01-19 13:07:53.539732|2026-01-19 13:07:53.539733
ETF|META|NYSE|Mozambique|USD|2023-05-04|2023-05-04 10:04:07|S|105.6134|1060.9088|112046.19|505.1098|2240.9238|109266.43|147598477010|Bryan|Medina|Saint Vincent and the Grenadines|MARKET_PRICE|BROKER|2026-01-19 13:07:53.539896|2026-01-19 13:07:53.539897
ETF|TSLA|NASDAQ|Samoa|JPY|2023-07-21|2023-07-21 21:53:38|B|296.772|1014.1365|300967.32|1453.7164|6019.3464|293346.39|948883973406|Larry|Wiley|Pitcairn Islands|STOP_LOSS|BROKER|2026-01-19 13:07:53.540057|2026-01-19 13:07:53.540058
ETF|GOOGL|NASDAQ|Saint Helena|EUR|2024-03-26|2024-03-26 06:27:54|B|472.1027|154.2977|72844.36|215.9592|1456.8872|71125.3|524397870209|Jennifer|Mills|Venezuela|EACH_PRICE|API|2026-01-19 13:07:53.540210|2026-01-19 13:07:53.540211
STOCK|AMZN|NYSE|Vanuatu|USD|2024-01-16|2024-01-16 18:44:54|B|37.4793|1240.7509|46502.48|120.6846|930.0496|45420.31|646926545948|Deanna|Hernandez|Mauritania|MARKET_PRICE|API|2026-01-19 13:07:53.540361|2026-01-19 13:07:53.540362
STOCK|TSLA|NASDAQ|Macao|GBP|2023-06-05|2023-06-05 08:56:00|B|51.0494|86.3132|4406.24|10.1897|88.1248|4305.81|318121658054|Sheri|Simpson|Niger|STOP_LOSS|BROKER|2026-01-19 13:07:53.540514|2026-01-19 13:07:53.540514
STOCK|MSFT|NASDAQ|Niger|EUR|2024-11-17|2024-11-17 05:40:49|S|312.4813|358.4697|112015.08|499.8558|2240.3016|109225.25|997130089260|Jennifer|Hopkins|Austria|STOP_LIMIT|BROKER|2026-01-19 13:07:53.540671|2026-01-19 13:07:53.540672
STOCK|BABA|XETRA|Bolivia|GBP|2024-07-05|2024-07-05 03:22:46|S|36.6644|164.1187|6017.31|23.5307|120.3462|5870.66|116292424780|Alexis|Clark|Cayman Islands|STOP_LIMIT|API|2026-01-19 13:07:53.540818|2026-01-19 13:07:53.540819
STOCK|META|NASDAQ|Solomon Islands|USD|2024-12-09|2024-12-09 19:07:34|S|149.0553|356.499|53138.07|137.4069|1062.7614|51929.27|846600302714|Charlene|Robertson|Chile|STOP_LIMIT|MOBILE|2026-01-19 13:07:53.540962|2026-01-19 13:07:53.540963
ETF|TSLA|NYSE|Timor-Leste|GBP|2023-06-05|2023-06-05 01:04:06|S|158.319|371.1161|58754.73|57.6672|1175.0946|57507.58|375994761915|Cynthia|Mckay|Cote d'Ivoire|EACH_PRICE|API|2026-01-19 13:07:53.541104|2026-01-19 13:07:53.541105
ETF|AMZN|LSE|Mauritania|JPY|2023-12-28|2023-12-28 01:28:31|S|229.8811|1064.9465|244811.07|798.8612|4896.2214|238946.51|606543452315|Anthony|Hinton|Senegal|LIMIT|WEB|2026-01-19 13:07:53.541247|2026-01-19 13:07:53.541248
ETF|MSFT|NASDAQ|Azerbaijan|GBP|2023-07-20|2023-07-20 16:38:17|B|179.8914|431.218|77572.41|293.1739|1551.4482|75661.39|268839136172|Danny|Perry|Cayman Islands|STOP_LIMIT|WEB|2026-01-19 13:07:53.541388|2026-01-19 13:07:53.541388
STOCK|META|NASDAQ|Antigua and Barbuda|GBP|2023-10-17|2023-10-17 00:58:11|S|178.2243|1128.0549|201046.79|249.9407|4020.9358|196751.69|238336568646|Anthony|Wilson|Libyan Arab Jamahiriya|MARKET_PRICE|BROKER|2026-01-19 13:07:53.541529|2026-01-19 13:07:53.541529
