instrument_type|ticker_symbol|exchange|country|currency|trade_date|execution_time|side|quantity|price_per_unit|gross_amount|commission|tax|net_amount|client_pid|client_name|client_lastname|client_origin|transaction_type|channel|created_at|updated_at
STOCK|BABA|LSE|Argentina|JPY|2023-07-01|2023-07-01 22:56:37|S|421.4985|857.1325|361280.06|1224.6751|7225.6012|352595.4|902452638307|Jake|Lee|Grenada|STOP_LIMIT|BROKER|2026-02-14 14:58:17.248821|2026-02-14 14:58:17.248823
ETF|AAPL|XETRA|Bouvet Island (Bouvetoya)|JPY|2024-02-22|2024-02-22 12:22:44|B|450.6992|207.0624|93322.86|176.8235|1866.4572|91187.69|971584019633|Christopher|Garrett|Niue|STOP_LOSS|API|2026-02-14 14:58:17.249032|2026-02-14 14:58:17.249033
ETF|AMZN|JPX|Cameroon|USD|2024-08-25|2024-08-25 10:56:28|B|364.1246|82.4701|30029.39|17.4726|600.5878|29388.34|880967793486|Teresa|Zuniga|Philippines|STOP_LOSS|WEB|2026-02-14 14:58:17.249228|2026-02-14 14:58:17.249229
ETF|AAPL|XETRA|Ecuador|USD|2023-06-29|2023-06-29 22:37:39|S|208.1898|1199.6904|249763.3|1056.1218|4995.266|243507.91|210052138866|Robert|Washington|Saint Martin|MARKET_PRICE|API|2026-02-14 14:58:17.249451|2026-02-14 14:58:17.249452
ETF|GOOGL|NASDAQ|Armenia|GBP|2024-08-15|2024-08-15 11:00:31|S|448.7186|1142.6568|512731.36|1313.6738|10254.6272|500811.19|123413563780|Jennifer|Cook|United States Virgin Islands|STOP_LIMIT|MOBILE|2026-02-14 14:58:17.249611|2026-02-14 14:58:17.249611
ETF|BABA|NASDAQ|Kazakhstan|USD|2023-03-16|2023-03-16 18:39:12|B|219.0855|1070.8085|234598.62|829.0369|4691.9724|228931.57|790526821721|Nancy|Tucker|Congo|MARKET_PRICE|BROKER|2026-02-14 14:58:17.249767|2026-02-14 14:58:17.249768
STOCK|NVDA|XETRA|Cocos (Keeling) Islands|EUR|2024-07-25|2024-07-25 13:23:09|B|321.1729|861.1498|276577.98|979.829|5531.5596|269823.41|865128556131|Philip|Anderson|Swaziland|STOP_LIMIT|MOBILE|2026-02-14 14:58:17.249926|2026-02-14 14:58:17.249927
STOCK|AAPL|NYSE|San Marino|GBP|2024-11-19|2024-11-19 00:44:30|B|321.4097|675.4113|217083.74|304.1004|4341.6748|212264.53|106044329131|Joshua|Hill|Estonia|EACH_PRICE|API|2026-02-14 14:58:17.250090|2026-02-14 14:58:17.250091
ETF|AAPL|NASDAQ|Pakistan|GBP|2024-01-17|2024-01-17 12:13:26|S|367.3257|653.9812|240224.1|595.0712|4804.482|234667.27|229967337661|Mark|Allison|Solomon Islands|STOP_LOSS|API|2026-02-14 14:58:17.250241|2026-02-14 14:58:17.250242
STOCK|MSFT|NYSE|Angola|USD|2023-07-08|2023-07-08 19:07:56|S|463.0055|1399.4218|647939.99|2493.2106|12958.7998|632167.11|254737330413|Jordan|Johnson|Saint Kitts and Nevis|MARKET_PRICE|API|2026-02-14 14:58:17.250389|2026-02-14 14:58:17.250390
STOCK|MSFT|NYSE|United States Virgin Islands|USD|2023-07-11|2023-07-11 00:53:37|S|373.4387|581.4994|217154.38|482.6851|4343.0876|212221.68|266902327861|Richard|King|Panama|LIMIT|BROKER|2026-02-14 14:58:17.250537|2026-02-14 14:58:17.250537
ETF|GOOGL|NASDAQ|Guadeloupe|USD|2023-03-31|2023-03-31 08:47:03|B|22.9289|81.0123|1857.52|1.3689|37.1504|1817.8|995174763115|Sarah|Owens|Slovakia (Slovak Republic)|STOP_LOSS|MOBILE|2026-02-14 14:58:17.250685|2026-02-14 14:58:17.250686
STOCK|MSFT|NASDAQ|Uganda|EUR|2023-06-29|2023-06-29 16:51:04|S|340.7309|648.1183|220833.93|556.5207|4416.6786|215728.15|923375643625|Roberto|Harris|Libyan Arab Jamahiriya|EACH_PRICE|BROKER|2026-02-14 14:58:17.250831|2026-02-14 14:58:17.250832
STOCK|BABA|NASDAQ|French Southern Territories|EUR|2024-10-28|2024-10-28 23:54:33|S|34.8062|508.2567|17690.48|76.2525|353.8096|17257.97|696287636882|Christopher|Webb|Malawi|MARKET_PRICE|API|2026-02-14 14:58:17.250975|2026-02-14 14:58:17.250975
